gene_id	mean_a	mean_b	log2fc	pvalue	padj	gene_name	n_peaks	max_score	mean_score	cluster	mean_expression	median_expression
ENSG00000205352	139.0	167.66666666666666	0.2705092418145124	0.0018578673964492	0.3732016007266698	PRR13	1	341	341.0			
ENSG00000164054	225.5	330.0	0.5493365650404372	0.0046899022402803	0.56229037116107	SHISA5	1	370	370.0			
ENSG00000241343	36.75	22.0	-0.740214407115912	0.0052084219041455	0.56229037116107	RPL36A	1	391	391.0			
ENSG00000122406	787.5	458.0	-0.7819310071845035	0.0054505662111812	0.56229037116107	RPL5	1	412	412.0			
ENSG00000166478	22.75	28.333333333333332	0.3166212991948747	0.0066653519246886	0.5790045292533214	ZNF143	1	391	391.0			
ENSG00000174444	1408.0	894.0	-0.6553000083430403	0.0069256059398874	0.5796696287717175	RPL4	2	631	512.0			
ENSG00000182768	11.75	13.666666666666666	0.2179834340770099	0.009841977914707	0.6257512006187294	NGRN	1	316	316.0			
ENSG00000156508	3437.0	2593.6666666666665	-0.4061566362723643	0.0108049800105462	0.6434180974896097	EEF1A1	1	696	696.0			
ENSG00000198755	433.0	293.0	-0.5634647682943893	0.01129199013655	0.6434180974896097	RPL10A	1	371	371.0			
ENSG00000115816	36.5	31.666666666666668	-0.2049254185488852	0.0124099654465855	0.6466792962069113	CEBPZ	1	305	305.0			
ENSG00000147604	100.0	61.666666666666664	-0.6974282619928139	0.0135384177430283	0.664372324794566	RPL7	1	417	417.0			
ENSG00000142937	852.25	558.6666666666666	-0.6092880615807005	0.0138487523662954	0.664372324794566	RPS8	1	390	390.0			
ENSG00000131759	283.0	344.6666666666667	0.2843988146714729	0.0157113148711624	0.6662289575537143	RARA	1	322	322.0	CD14+ Monocytes	0.2552836	-0.17691934
ENSG00000131759	283.0	344.6666666666667	0.2843988146714729	0.0157113148711624	0.6662289575537143	RARA	1	322	322.0	FCGR3A+ Monocytes	0.10609245	-0.27357364
ENSG00000131759	283.0	344.6666666666667	0.2843988146714729	0.0157113148711624	0.6662289575537143	RARA	1	322	322.0	Dendritic cells	0.06936991	-0.3442003
ENSG00000131759	283.0	344.6666666666667	0.2843988146714729	0.0157113148711624	0.6662289575537143	RARA	1	322	322.0	B cells	-0.045990054	-0.15163165
ENSG00000131759	283.0	344.6666666666667	0.2843988146714729	0.0157113148711624	0.6662289575537143	RARA	1	322	322.0	NK cells	-0.05571223	-0.16526149
ENSG00000131759	283.0	344.6666666666667	0.2843988146714729	0.0157113148711624	0.6662289575537143	RARA	1	322	322.0	CD4 T cells	-0.07615571	-0.1937276
ENSG00000131759	283.0	344.6666666666667	0.2843988146714729	0.0157113148711624	0.6662289575537143	RARA	1	322	322.0	CD8 T cells	-0.10131822	-0.16867827
ENSG00000131759	283.0	344.6666666666667	0.2843988146714729	0.0157113148711624	0.6662289575537143	RARA	1	322	322.0	Megakaryocytes	-0.14151637	-0.09215342
ENSG00000175061	112.0	71.66666666666667	-0.6441173238494846	0.014750251834777	0.6662289575537143	C17orf76-AS1	1	486	486.0			
ENSG00000134825	33.75	24.666666666666668	-0.4523089915782332	0.0174404948635722	0.6717454975181268	TMEM258	2	372	342.0			
ENSG00000130066	3399.25	5033.0	0.566201990361788	0.0175565232025003	0.6717454975181268	SAT1	1	682	682.0	Megakaryocytes	1.6736299	1.9532167
ENSG00000130066	3399.25	5033.0	0.566201990361788	0.0175565232025003	0.6717454975181268	SAT1	1	682	682.0	FCGR3A+ Monocytes	1.1676115	1.166606
