gene_id	mean_a	mean_b	log2fc	pvalue	padj	gene_name
ENSG00000241644	0.0	1.0	9.967226258835993	0.0	0.0	INMT
ENSG00000185480	1.0	2.0	0.9992791930697478	0.0	0.0	PARPBP
ENSG00000185198	1.0	0.0	-9.967226258835993	0.0	0.0	PRSS57
ENSG00000250508	0.0	1.0	9.967226258835993	0.0	0.0	RP11-757G1.6
ENSG00000159674	1.0	2.0	0.9992791930697478	0.0	0.0	SPON2
ENSG00000259479	1.0	0.0	-9.967226258835993	0.0	0.0	CTD-2008A1.2
ENSG00000072163	0.0	1.0	9.967226258835993	0.0	0.0	LIMS2
ENSG00000260837	1.0	2.0	0.9992791930697478	0.0	0.0	RP11-434B12.1
ENSG00000198723	1.0	2.0	0.9992791930697478	0.0	0.0	C19orf45
ENSG00000250031	0.0	1.0	9.967226258835993	0.0	0.0	RP11-114M5.1
ENSG00000204778	0.0	1.0	9.967226258835993	0.0	0.0	RP11-15J10.1
ENSG00000152056	1.0	2.0	0.9992791930697478	0.0	0.0	AP1S3
ENSG00000143257	1.0	2.0	0.9992791930697478	0.0	0.0	NR1I3
ENSG00000261324	1.0	2.0	0.9992791930697478	0.0	0.0	RP11-174G6.5
ENSG00000232453	1.0	0.0	-9.967226258835993	0.0	0.0	RP4-794H19.1
ENSG00000197721	0.0	1.0	9.967226258835993	0.0	0.0	CR1L
ENSG00000224891	0.0	1.0	9.967226258835993	0.0	0.0	AC007899.3
ENSG00000206567	1.0	0.0	-9.967226258835993	0.0	0.0	AC022007.5
ENSG00000254802	0.0	1.0	9.967226258835993	0.0	0.0	AC022182.3
ENSG00000254477	1.0	0.0	-9.967226258835993	0.0	0.0	AP000640.10
ENSG00000075702	1.0	2.0	0.9992791930697478	0.0	0.0	WDR62
ENSG00000078814	2.0	1.0	-0.9992791930697477	0.0	0.0	MYH7B
ENSG00000157343	1.0	0.0	-9.967226258835993	0.0	0.0	ARMC12
ENSG00000177283	1.0	0.0	-9.967226258835993	0.0	0.0	FZD8
ENSG00000213172	0.0	1.0	9.967226258835993	0.0	0.0	RP1-228H13.2
ENSG00000228327	3.0	2.0	-0.5847221516925473	0.0	0.0	RP11-206L10.2
ENSG00000244617	1.0	0.0	-9.967226258835993	0.0	0.0	ASPRV1
ENSG00000235897	0.0	1.0	9.967226258835993	0.0	0.0	TM4SF19-AS1
ENSG00000253616	0.0	1.0	9.967226258835993	0.0	0.0	RP11-875O11.3
ENSG00000099769	0.0	1.0	9.967226258835993	0.0	0.0	IGFALS
ENSG00000231730	1.0	2.0	0.9992791930697478	0.0	0.0	
ENSG00000175899	1.0	0.0	-9.967226258835993	0.0	0.0	A2M
ENSG00000260751	0.0	1.0	9.967226258835993	0.0	0.0	CTD-2196E14.6
ENSG00000244482	153.25	233.33333333333334	0.606502116419599	2.7858621340325806e-05	0.013236122621518326	LILRA6
ENSG00000185201	240.0	631.3333333333334	1.3953637930759066	0.00010130853161839423	0.04675822913610115	IFITM2
ENSG00000145214	67.25	45.333333333333336	-0.5689516507779884	0.00011028966334196128	0.0481518708547579	DGKQ
ENSG00000108669	239.0	304.0	0.34705941479410685	0.00010988562992250353	0.0481518708547579	CYTH1
ENSG00000213689	53.25	85.0	0.6746711960846302	0.0001230533985196805	0.05231064736018207	TREX1
ENSG00000160111	27.75	14.333333333333334	-0.9530649508115355	0.00018260103891665227	0.07563428673486156	CPAMD8
ENSG00000197121	4.5	11.0	1.2893172020472705	0.00019181546922681552	0.07746467724724945	PGAP1
ENSG00000131781	28.25	18.0	-0.6502248814218332	0.00020830240871724614	0.08207114903459499	FMO5
